date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:22	280/280	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Feb%202024%2022:36:51%20GMT	https://fox.artclass.site/robots.txt		(from )
15:38:22	3190/3190	---M-Z	200	added ('OK')	text/html	etag:W/%22c76-18b27033728-gzip%22	https://fox.artclass.site/uv/	/UV%20Proxy/fox.artclass.site/uv/index.html	(from )
15:38:22	1662/1662	---M--	200	added ('OK')	image/x-icon	etag:W/%2267e-186292cd04c%22	https://fox.artclass.site/uv/favicon.ico	/UV%20Proxy/fox.artclass.site/uv/favicon.ico	(from https://fox.artclass.site/uv/)
15:38:23	2495/2495	---M-Z	200	added ('OK')	text/css	etag:W/%229bf-186292cd03c-gzip%22	https://fox.artclass.site/uv/index.css	/UV%20Proxy/fox.artclass.site/uv/index.css	(from https://fox.artclass.site/uv/)
15:38:23	673423/673423	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a468f-186292cd2ec-gzip%22	https://fox.artclass.site/uv/uv/uv.bundle.js?v=1	/UV%20Proxy/fox.artclass.site/uv/uv/uv.bundle3860.js	(from https://fox.artclass.site/uv/)
15:38:23	331/331	---M-Z	200	added ('OK')	application/javascript	etag:W/%2214b-18b221d9abc-gzip%22	https://fox.artclass.site/uv/uv/uv.config.js?v=1	/UV%20Proxy/fox.artclass.site/uv/uv/uv.config3860.js	(from https://fox.artclass.site/uv/)
15:38:23	766/766	---M-Z	200	added ('OK')	application/javascript	etag:W/%222fe-186324e8ae8-gzip%22	https://fox.artclass.site/uv/register-sw.js	/UV%20Proxy/fox.artclass.site/uv/register-sw.js	(from https://fox.artclass.site/uv/)
15:38:24	958/958	---M-Z	200	added ('OK')	application/javascript	etag:W/%223be-186292cd054-gzip%22	https://fox.artclass.site/uv/search.js	/UV%20Proxy/fox.artclass.site/uv/search.js	(from https://fox.artclass.site/uv/)
15:38:24	859/859	---M-Z	200	added ('OK')	application/javascript	etag:W/%2235b-186292cd050-gzip%22	https://fox.artclass.site/uv/index.js	/UV%20Proxy/fox.artclass.site/uv/index.js	(from https://fox.artclass.site/uv/)
15:38:24	20873/20873	---M--	200	added ('OK')	image/png	etag:W/%225189-186292cd058%22	https://fox.artclass.site/uv/uv.png	/UV%20Proxy/fox.artclass.site/uv/uv.png	(from https://fox.artclass.site/uv/)
